name,:LABEL
王祖蓝,Person,157
吴艳华,Person,157
许魏洲,Person,157
郑宇,Person,157
金蝶,Person,157
马云,Person,157
田馥甄,Person,157
高铭,Person,157
夏小华,Person,157
亚马逊,Person,157
FreeWheel,Person,157
孙丽娟,Person,157
Mary Alvord,Person,158
帕金森,Person,158
白小鼠,Person,158
Edvard Moser,Person,158
阿兹海默,Person,158
诺贝尔,Person,158
劳伦斯,Person,158
艾伦,Person,158
Kahneman,Person,158
奥巴马,Person,158
Stryker,Person,158
盖伊登,Person,159
古德弗罗,Person,159
Markovian,Person,159
Li),Person,159
莱姆皮茨基,Person,159
洛特尔,Person,159
古普塔,Person,159
Lotter),Person,159
嘉宁,Person,159
Liu),Person,159
恩杰尔·图泽尔,Person,159
布莱恩·凯西,Person,160
卡兰尼克,Person,160
威丝曼,Person,160
詹姆斯,Person,160
凯西,Person,160
沃尔沃,Person,160
Aarian Marshall,Person,160
Mary-Lee Smith,Person,160
特朗普,Person,161
薛晴,Person,162
孙宝欣,Person,163
王建军,Person,164
习近平,Person,164
彭应登,Person,165
常纪文,Person,165
熊和平,Person,165
修国辉,Person,165
房春生,Person,165
陆昊,Person,165
张利群,Person,165
马军胜,Person,166
胡凯红,Person,166
杨传堂,Person,166
高铁,Person,166
杨宇栋,Person,166
吴晓山,Person,166
冯正霖,Person,166
高文华,Person,169
卢义杰,Person,169
王令,Person,169
王健林,Person,170
王伊,Person,170
宋振宁,Person,170
安利,Person,170
徐玉玉,Person,170
奥斯卡,Person,171
胡尔克,Person,171
特维斯,Person,171
郭剑,Person,171
莫雷诺,Person,171
埃尔克,Person,171
卢明生,Person,172
李春平,Person,172
阿尔茨海默,Person,172
西西,Person,173
王天琪,Person,173
黄筱菁,Person,173
韩骁,Person,173
跟西西,Person,173
阿元,Person,173
东条英机,Person,174
今村雅弘,Person,174
周鸿祎,Person,175
乔布斯,Person,175
雷军,Person,175
但雷军,Person,175
蔡楚培,Person,176
习近平,Person,176
马克思,Person,176
刘宇航,Person,176
王斯敏,Person,176
王道,Person,177
刘氏,Person,177
刘伯温,Person,177
徐一夔,Person,177
王政,Person,177
鲁班,Person,177
管子·内业,Person,177
孟子,Person,177
刘基,Person,177
蔡楚培,Person,177
朱棣,Person,177
诸葛亮,Person,177
刘璟,Person,177
俞美玉,Person,177
朱元璋,Person,177
仁爱兼济,Person,177
洪武,Person,177
陈友谅,Person,177
张大力,Person,177
朱明,Person,177
韦华,Person,178
桑德斯,Person,179
特朗普,Person,179
王传军,Person,179
耶伦,Person,179
蔡楚培,Person,179
石佳,Person,180
梁捷,Person,180
张莎莎,Person,181
习近平,Person,182
杨宜勇,Person,183
习近平,Person,183
习近平,Person,184
陈若愚,Person,184
习近平,Person,185
唐亚阳,Person,185
习近平,Person,186
颜晓峰,Person,186
马克思,Person,186
罗宗毅,Person,187
习近平,Person,187
毛泽东,Person,187
列宁,Person,187
马克思,Person,187
李兴血,Person,188
王瑞琪,Person,188
伍盛波,Person,188
史卫忠,Person,189
爱因斯坦,Person,190
伦齐,Person,190
奥兰多,Person,190
希拉里,Person,190
孟湘君,Person,190
吴倩,Person,190
萨德,Person,190
普京,Person,190
崔顺实,Person,190
卡斯特罗,Person,190
欧罗巴,Person,190
卡翁,Person,190
卡梅伦,Person,190
特朗普,Person,190
朴槿惠,Person,190
奥巴马,Person,190
孔庆玲,Person,190
李锁,Person,191
李兵,Person,191
柯克曼,Person,191
张航,Person,192
张勇,Person,193
石佳,Person,194
江诗丹顿,Person,194
李思辉,Person,194
毛基业,Person,195
张玉利,Person,195
孙庆玲,Person,195
叶康涛,Person,195
亚历山大,Person,196
王舒王栋梁,Person,196
刘明扬,Person,196
谢库克,Person,196
朱志强,Person,196
闫旭,Person,197
高岳正夫,Person,198
